name,parliament_num,party,n_statements,n_times_interjected,gender
"Mitchell, Rob",43,ALP,151,51,male
"Mitchell, Rob",44,ALP,144,32,male
"Mitchell, Rob",45,ALP,97,10,male
"Mitchell, Rob",46,ALP,94,6,male
"Mitchell, Rob",47,ALP,181,46,male
"Moore, John",39,LIB,88,33,male
"Morris, Allan",39,ALP,114,32,male
"Morrison, Scott",42,LIB,146,41,male
"Morrison, Scott",43,LIB,420,71,male
"Morrison, Scott",44,LIB,910,425,male
"Morrison, Scott",45,LIB,1241,459,male
"Morrison, Scott",46,LIB,2346,973,male
"Morrison, Scott",47,LIB,8,0,male
"Morton, Ben",45,LIB,121,12,male
"Morton, Ben",46,LIB,124,17,male
"Mossfield, Frank",39,ALP,123,13,male
"Mossfield, Frank",40,ALP,134,27,male
"Moylan, Judi",39,LIB,151,19,female
"Moylan, Judi",40,LIB,112,4,female
"Moylan, Judi",41,LIB,133,3,female
"Moylan, Judi",42,LIB,73,5,female
"Moylan, Judi",43,LIB,54,5,female
"Mulino, Daniel",46,ALP,73,6,male
"Mulino, Daniel",47,ALP,150,3,male
"Murphy, John",39,ALP,374,105,male
"Murphy, John",40,ALP,445,136,male
"Murphy, John",41,ALP,263,73,male
"Murphy, John",42,ALP,76,10,male
"Murphy, John",43,ALP,226,15,male
"Murphy, Peta",46,ALP,205,24,female
"Murphy, Peta",47,ALP,79,16,female
"Nairn, Gary",39,LIB,146,28,male
"Nairn, Gary",40,LIB,105,10,male
"Nairn, Gary",41,LIB,159,32,male
"Neal, Belinda",42,ALP,85,4,female
"Nehl, Garry",39,NP,175,31,male
"Nelson, Brendan",39,LIB,129,23,male
"Nelson, Brendan",40,LIB,538,349,male
"Nelson, Brendan",41,LIB,284,129,male
"Nelson, Brendan",42,LIB,199,40,male
"Neumann, Shayne",42,ALP,206,12,male
"Neumann, Shayne",43,ALP,264,29,male
"Neumann, Shayne",44,ALP,140,15,male
"Neumann, Shayne",45,ALP,88,13,male
"Neumann, Shayne",46,ALP,78,6,male
"Neumann, Shayne",47,ALP,142,3,male
"Neville, Paul",39,NP,236,73,male
"Neville, Paul",40,NP,147,38,male
"Neville, Paul",41,NP,142,32,male
"Neville, Paul",42,NP,89,21,male
"Neville, Paul",43,NP,80,14,male
"Nikolic, Andrew",44,LIB,239,57,male
"Nugent, Peter",39,LIB,96,20,male
"O'Brien, Llew",45,NP,83,2,male
"O'Brien, Llew",46,NP,120,1,male
"O'Brien, Llew",47,NP,57,3,male
"O'Brien, Ted",45,LIB,195,25,male
"O'Brien, Ted",46,LIB,122,14,male
"O'Brien, Ted",47,LIB,185,69,male
"O'Byrne, Michelle",39,ALP,74,9,female
"O'Byrne, Michelle",40,ALP,127,35,female
"O'Connor, Brendan",40,ALP,181,50,male
"O'Connor, Brendan",41,ALP,216,50,male
"O'Connor, Brendan",42,ALP,185,82,male
"O'Connor, Brendan",43,ALP,239,64,male
"O'Connor, Brendan",44,ALP,178,54,male
"O'Connor, Brendan",45,ALP,127,54,male
"O'Connor, Brendan",46,ALP,73,13,male
"O'Connor, Brendan",47,ALP,106,22,male
"O'Connor, Gavan",39,ALP,186,70,male
"O'Connor, Gavan",40,ALP,194,102,male
"O'Connor, Gavan",41,ALP,197,71,male
"O'Dowd, Ken",43,NP,103,34,male
"O'Dowd, Ken",44,NP,106,12,male
"O'Dowd, Ken",45,NP,124,17,male
"O'Dowd, Ken",46,NP,185,5,male
"O'Dwyer, Kelly",42,LIB,7,1,female
"O'Dwyer, Kelly",43,LIB,143,17,female
"O'Dwyer, Kelly",44,LIB,211,38,female
"O'Dwyer, Kelly",45,LIB,288,49,female
"O'Keefe, Neil",39,ALP,89,29,male
"O'Neil, Clare",44,ALP,114,10,female
"O'Neil, Clare",45,ALP,92,25,female
"O'Neil, Clare",46,ALP,56,11,female
"O'Neil, Clare",47,ALP,255,125,female
"O'Neill, Deborah",43,ALP,243,30,female
"O'Toole, Cathy",45,ALP,134,12,female
"Oakeshott, Rob",42,IND,129,27,male
"Oakeshott, Rob",43,IND,381,54,male
"Organ, Michael",40,GRN,187,24,male
"Owens, Julie",41,ALP,99,31,female
"Owens, Julie",42,ALP,77,9,female
"Owens, Julie",43,ALP,219,23,female
"Owens, Julie",44,ALP,171,44,female
"Owens, Julie",45,ALP,100,9,female
"Owens, Julie",46,ALP,67,1,female
"Palmer, Clive",44,PUP,74,18,male
"Parke, Melissa",42,ALP,91,9,female
"Parke, Melissa",43,ALP,149,5,female
"Parke, Melissa",44,ALP,142,6,female
"Pasin, Tony",44,LIB,153,28,male
"Pasin, Tony",45,LIB,133,17,male
"Pasin, Tony",46,LIB,145,11,male
"Pasin, Tony",47,LIB,109,31,male
"Payne, Alicia",46,ALP,82,2,female
"Payne, Alicia",47,ALP,162,7,female
"Pearce, Chris",39,LIB,7,2,male
"Pearce, Chris",40,LIB,106,33,male
"Pearce, Chris",41,LIB,110,15,male
"Pearce, Chris",42,LIB,70,15,male
"Pearce, Gavin",46,LIB,123,4,male
"Pearce, Gavin",47,LIB,95,13,male
"Perrett, Graham",42,ALP,168,61,male
"Perrett, Graham",43,ALP,350,90,male
"Perrett, Graham",44,ALP,273,91,male
"Perrett, Graham",45,ALP,173,34,male
"Perrett, Graham",46,ALP,219,42,male
"Perrett, Graham",47,ALP,247,27,male
"Phelps, Kerryn",45,IND,16,0,female
"Phillips, Fiona",46,ALP,103,4,female
"Phillips, Fiona",47,ALP,135,7,female
"Pike, Henry",47,LIB,75,7,male
"Pitt, Keith",44,NP,144,19,male
"Pitt, Keith",45,NP,100,18,male
"Pitt, Keith",46,NP,173,22,male
"Pitt, Keith",47,NP,110,13,male
"Plibersek, Tanya",39,ALP,70,10,female
"Plibersek, Tanya",40,ALP,135,28,female
"Plibersek, Tanya",41,ALP,140,32,female
"Plibersek, Tanya",42,ALP,148,57,female
"Plibersek, Tanya",43,ALP,266,50,female
"Plibersek, Tanya",44,ALP,422,143,female
"Plibersek, Tanya",45,ALP,330,69,female
"Plibersek, Tanya",46,ALP,158,36,female
"Plibersek, Tanya",47,ALP,336,167,female
"Porter, Christian",44,LIB,242,100,male
"Porter, Christian",45,LIB,318,78,male
"Porter, Christian",46,LIB,719,207,male
"Prentice, Jane",43,LIB,176,9,female
"Prentice, Jane",44,LIB,243,22,female
"Prentice, Jane",45,LIB,78,9,female
"Price, Melissa",44,LIB,135,11,female
"Price, Melissa",45,LIB,166,26,female
"Price, Melissa",46,LIB,98,21,female
"Price, Melissa",47,LIB,94,3,female
"Price, Roger",39,ALP,179,43,male
"Price, Roger",40,ALP,161,28,male
"Price, Roger",41,ALP,191,43,male
"Price, Roger",42,ALP,187,18,male
"Prosser, Geoff",39,LIB,60,3,male
"Prosser, Geoff",40,LIB,44,10,male
"Prosser, Geoff",41,LIB,36,2,male
"Pyne, Christopher",39,LIB,204,85,male
"Pyne, Christopher",40,LIB,168,70,male
"Pyne, Christopher",41,LIB,101,28,male
"Pyne, Christopher",42,LIB,293,104,male
"Pyne, Christopher",43,LIB,587,207,male
"Pyne, Christopher",44,LIB,1553,550,male
"Pyne, Christopher",45,LIB,846,166,male
"Quick, Harry",39,ALP,46,4,male
"Quick, Harry",40,ALP,56,1,male
"Quick, Harry",41,ALP,31,3,male
"Quick, Harry",41,IND,2,1,male
"Rae, Sam",47,ALP,153,16,male
"Raguse, Brett",42,ALP,130,21,male
"Ramsey, Rowan",42,LIB,56,8,male
"Ramsey, Rowan",43,LIB,113,17,male
"Ramsey, Rowan",44,LIB,119,9,male
"Ramsey, Rowan",45,LIB,179,12,male
"Ramsey, Rowan",46,LIB,140,2,male
"Ramsey, Rowan",47,LIB,84,7,male
"Randall, Don",40,LIB,192,45,male
"Randall, Don",41,LIB,123,24,male
"Randall, Don",42,LIB,99,26,male
"Randall, Don",43,LIB,117,26,male
"Randall, Don",44,LIB,75,17,male
"Rea, Kerry",42,ALP,101,6,female
"Reid, Gordon",47,ALP,187,6,male
"Reith, Peter",39,LIB,1371,803,male
"Repacholi, Dan",47,ALP,184,6,male
"Richardson, Kym",41,LIB,100,9,male
"Ripoll, Bernie",39,ALP,94,24,male
"Ripoll, Bernie",40,ALP,144,45,male
"Ripoll, Bernie",41,ALP,190,62,male
"Ripoll, Bernie",42,ALP,149,28,male
"Ripoll, Bernie",43,ALP,193,37,male
"Ripoll, Bernie",44,ALP,121,40,male
"Rishworth, Amanda",42,ALP,115,13,female
"Rishworth, Amanda",43,ALP,147,14,female
"Rishworth, Amanda",44,ALP,145,35,female
"Rishworth, Amanda",45,ALP,86,10,female
"Rishworth, Amanda",46,ALP,76,3,female
"Rishworth, Amanda",47,ALP,232,70,female
"Robb, Andrew",41,LIB,131,61,male
"Robb, Andrew",42,LIB,90,14,male
"Robb, Andrew",43,LIB,208,58,male
"Robb, Andrew",44,LIB,220,81,male
"Robert, Stuart",42,LIB,149,23,male
"Robert, Stuart",43,LIB,181,15,male
"Robert, Stuart",44,LIB,218,42,male
"Robert, Stuart",45,LIB,196,20,male
"Robert, Stuart",46,LIB,279,71,male
"Robert, Stuart",47,LIB,62,13,male
"Roberts, Tracey",47,ALP,135,4,female
"Ronaldson, Michael",39,LIB,114,38,male
"Rowland, Michelle",43,ALP,179,26,female
"Rowland, Michelle",44,ALP,152,13,female
"Rowland, Michelle",45,ALP,66,7,female
"Rowland, Michelle",46,ALP,69,8,female
"Rowland, Michelle",47,ALP,159,45,female
"Roxon, Nicola",39,ALP,106,23,female
"Roxon, Nicola",40,ALP,142,58,female
"Roxon, Nicola",41,ALP,192,53,female
"Roxon, Nicola",42,ALP,504,251,female
"Roxon, Nicola",43,ALP,375,99,female
"Roy, Wyatt",43,LIB,50,2,male
"Roy, Wyatt",44,LIB,109,19,male
"Rudd, Kevin",39,ALP,159,37,male
"Rudd, Kevin",40,ALP,264,59,male
"Rudd, Kevin",41,ALP,667,164,male
"Rudd, Kevin",42,ALP,2763,1565,male
"Rudd, Kevin",43,ALP,179,38,male
"Rudd, Kevin",44,ALP,2,0,male
"Ruddock, Philip",39,LIB,389,246,male
"Ruddock, Philip",40,LIB,792,477,male
"Ruddock, Philip",41,LIB,407,89,male
"Ruddock, Philip",42,LIB,41,11,male
"Ruddock, Philip",43,LIB,87,14,male
"Ruddock, Philip",44,LIB,130,11,male
"Ryan, Joanne",44,ALP,248,15,female
"Ryan, Joanne",45,ALP,182,15,female
"Ryan, Joanne",46,ALP,128,6,female
"Ryan, Joanne",47,ALP,174,13,female
"Ryan, Monique",47,IND,165,13,female
"Saffin, Janelle",42,ALP,122,21,female
"Saffin, Janelle",43,ALP,192,23,female
"Sawford, Rod",39,ALP,70,16,male
"Sawford, Rod",40,ALP,39,8,male
"Sawford, Rod",41,ALP,23,7,male
"Scamps, Sophie",47,IND,150,6,female
"Schultz, Alby",39,LIB,68,6,male
"Schultz, Alby",40,LIB,56,3,male
"Schultz, Alby",41,LIB,68,10,male
"Schultz, Alby",42,LIB,38,4,male
"Schultz, Alby",43,LIB,65,7,male
"Sciacca, Con",39,ALP,119,43,male
"Sciacca, Con",40,ALP,32,4,male
"Scott, Bruce",39,NP,150,69,male
"Scott, Bruce",40,NP,80,13,male
"Scott, Bruce",41,NP,126,12,male
"Scott, Bruce",42,NP,106,25,male
"Scott, Bruce",43,NP,133,18,male
"Scott, Bruce",44,NP,130,1,male
"Scott, Fiona",44,LIB,161,24,female
"Scrymgour, Marion",47,ALP,109,8,female
"Secker, Patrick",39,LIB,87,5,male
"Secker, Patrick",40,LIB,74,10,male
"Secker, Patrick",41,LIB,77,12,male
"Secker, Patrick",42,LIB,68,13,male
"Secker, Patrick",43,LIB,49,5,male
"Sercombe, Bob",39,ALP,72,11,male
"Sercombe, Bob",40,ALP,26,9,male
"Sercombe, Bob",41,ALP,21,8,male
"Sharkie, Rebekha",45,CA,164,7,female
"Sharkie, Rebekha",45,NXT,166,4,female
"Sharkie, Rebekha",46,CA,335,14,female
"Sharkie, Rebekha",47,CA,148,8,female
"Sharma, Dave",46,LIB,194,11,male
"Short, Leonie",39,ALP,7,0,female
"Shorten, Bill",42,ALP,94,28,male
"Shorten, Bill",43,ALP,710,217,male
"Shorten, Bill",44,ALP,1247,411,male
"Shorten, Bill",45,ALP,839,178,male
"Shorten, Bill",46,ALP,136,17,male
"Shorten, Bill",47,ALP,179,88,male
"Sidebottom, Sid",39,ALP,123,21,male
"Sidebottom, Sid",40,ALP,136,34,male
"Sidebottom, Sid",42,ALP,170,45,male
"Sidebottom, Sid",43,ALP,142,28,male
"Simmonds, Julian",46,LIB,213,20,male
"Simpkins, Luke",42,LIB,107,14,male
"Simpkins, Luke",43,LIB,122,9,male
"Simpkins, Luke",44,LIB,129,12,male
"Sitou, Sally",47,ALP,133,6,female
"Slipper, Peter",39,LIB,497,95,male
"Slipper, Peter",40,LIB,577,116,male
"Slipper, Peter",41,LIB,209,38,male
"Slipper, Peter",42,LIB,92,17,male
"Slipper, Peter",43,IND,149,8,male
"Slipper, Peter",43,LIB,78,27,male
"Smith, David",46,ALP,35,2,male
"Smith, David",47,ALP,161,13,male
"Smith, Stephen",39,ALP,214,58,male
"Smith, Stephen",40,ALP,214,65,male
"Smith, Stephen",41,ALP,395,102,male
"Smith, Stephen",42,ALP,175,41,male
"Smith, Stephen",43,ALP,208,11,male
"Smith, Tony (Anthony David)",40,LIB,78,13,male
"Smith, Tony (Anthony David)",41,LIB,84,13,male
"Smith, Tony (Anthony David)",42,LIB,86,23,male
"Smith, Tony (Anthony David)",43,LIB,171,44,male
"Smith, Tony (Anthony David)",44,LIB,437,82,male
"Smith, Tony (Anthony David)",45,LIB,1056,108,male
"Smith, Tony (Anthony David)",46,LIB,1007,164,male
"Smyth, Laura",43,ALP,139,17,female
"Snowdon, Warren",39,ALP,255,77,male
"Snowdon, Warren",40,ALP,178,66,male
"Snowdon, Warren",41,ALP,274,101,male
"Snowdon, Warren",42,ALP,98,37,male
"Snowdon, Warren",43,ALP,82,15,male
"Snowdon, Warren",44,ALP,176,62,male
"Snowdon, Warren",45,ALP,124,55,male
"Snowdon, Warren",46,ALP,96,6,male
"Somlyay, Alex",39,LIB,89,4,male
"Somlyay, Alex",40,LIB,62,10,male
"Somlyay, Alex",41,LIB,53,4,male
"Somlyay, Alex",42,LIB,13,2,male
"Somlyay, Alex",43,LIB,9,1,male
"Southcott, Andrew",39,LIB,126,20,male
"Southcott, Andrew",40,LIB,110,16,male
"Southcott, Andrew",41,LIB,137,21,male
"Southcott, Andrew",42,LIB,105,12,male
"Southcott, Andrew",43,LIB,175,24,male
"Southcott, Andrew",44,LIB,149,13,male
"Spender, Allegra",47,IND,211,9,female
"St Clair, Stuart",39,NP,194,50,male
"Stanley, Anne",45,ALP,34,0,female
"Stanley, Anne",46,ALP,76,4,female
"Stanley, Anne",47,ALP,157,10,female
"Steggall, Zali",46,IND,216,4,female
"Steggall, Zali",47,IND,233,17,female
"Stevens, James",46,LIB,165,6,male
"Stevens, James",47,LIB,186,16,male
"Stone, Sharman",39,LIB,74,11,female
"Stone, Sharman",40,LIB,48,6,female
"Stone, Sharman",41,LIB,169,33,female
"Stone, Sharman",42,LIB,146,34,female
"Stone, Sharman",43,LIB,146,9,female
"Stone, Sharman",44,LIB,118,6,female
"Sudmalis, Ann",44,LIB,112,10,female
"Sudmalis, Ann",45,LIB,155,17,female
"Sukkar, Michael",44,LIB,137,14,male
"Sukkar, Michael",45,LIB,189,20,male
"Sukkar, Michael",46,LIB,278,36,male
"Sukkar, Michael",47,LIB,191,70,male
"Sullivan, Jon",42,ALP,101,21,male
"Sullivan, Kathy",39,LIB,31,17,female
"Swan, Wayne",39,ALP,290,84,male
"Swan, Wayne",40,ALP,281,103,male
"Swan, Wayne",41,ALP,346,61,male
"Swan, Wayne",42,ALP,1096,591,male
"Swan, Wayne",43,ALP,1344,643,male
"Swan, Wayne",44,ALP,16,2,male
"Swan, Wayne",45,ALP,32,0,male
"Swanson, Meryl",45,ALP,101,13,female
"Swanson, Meryl",46,ALP,95,11,female
"Swanson, Meryl",47,ALP,151,24,female
"Symon, Mike",42,ALP,98,6,male
"Symon, Mike",43,ALP,152,17,male
"Tanner, Lindsay",39,ALP,183,44,male
"Tanner, Lindsay",40,ALP,208,56,male
"Tanner, Lindsay",41,ALP,135,26,male
"Tanner, Lindsay",42,ALP,418,224,male
"Taylor, Angus",44,LIB,137,12,male
"Taylor, Angus",45,LIB,123,19,male
"Taylor, Angus",46,LIB,318,111,male
"Taylor, Angus",47,LIB,347,102,male
"Tehan, Dan",43,LIB,175,46,male
"Tehan, Dan",44,LIB,177,26,male
"Tehan, Dan",45,LIB,245,57,male
"Tehan, Dan",46,LIB,237,55,male
"Tehan, Dan",47,LIB,290,85,male
"Templeman, Susan",45,ALP,122,5,female
"Templeman, Susan",46,ALP,195,5,female
"Templeman, Susan",47,ALP,310,5,female
"Theophanous, Andrew",39,ALP,71,25,male
"Theophanous, Andrew",39,IND,121,23,male
"Thistlethwaite, Matt",44,ALP,238,10,male
"Thistlethwaite, Matt",45,ALP,180,9,male
"Thistlethwaite, Matt",46,ALP,181,20,male
"Thistlethwaite, Matt",47,ALP,84,7,male
"Thompson, Cameron",39,LIB,165,53,male
"Thompson, Cameron",40,LIB,83,8,male
"Thompson, Cameron",41,LIB,101,20,male
"Thompson, Phillip",46,LIB,143,12,male
"Thompson, Phillip",47,LIB,93,13,male
"Thomson, Andrew",39,LIB,136,8,male
"Thomson, Craig",42,ALP,156,27,male
"Thomson, Craig",43,ALP,73,15,male
"Thomson, Craig",43,IND,28,10,male
"Thomson, Kelvin",39,ALP,404,206,male
"Thomson, Kelvin",40,ALP,121,38,male
"Thomson, Kelvin",41,ALP,250,71,male
"Thomson, Kelvin",42,ALP,111,4,male
"Thomson, Kelvin",43,ALP,127,6,male
"Thomson, Kelvin",44,ALP,316,17,male
"Thwaites, Kate",46,ALP,91,13,female
"Thwaites, Kate",47,ALP,136,10,female
"Ticehurst, Ken",40,LIB,76,7,male
"Ticehurst, Ken",41,LIB,100,9,male
"Tink, Kylea",47,IND,225,14,female
"Tollner, Dave",40,LIB,89,17,male
"Tollner, Dave",41,LIB,106,12,male
"Trevor, Chris",42,ALP,92,1,male
"Truss, Warren",39,NP,327,141,male
"Truss, Warren",40,NP,215,61,male
"Truss, Warren",41,NP,218,91,male
"Truss, Warren",42,NP,237,43,male
"Truss, Warren",43,NP,239,32,male
"Truss, Warren",44,NP,647,296,male
"Tuckey, Wilson",39,LIB,263,155,male
"Tuckey, Wilson",40,LIB,208,88,male
"Tuckey, Wilson",41,LIB,210,85,male
"Tuckey, Wilson",42,LIB,220,74,male
"Tudge, Alan",43,LIB,150,14,male
"Tudge, Alan",44,LIB,83,14,male
"Tudge, Alan",45,LIB,193,59,male
"Tudge, Alan",46,LIB,207,37,male
"Tudge, Alan",47,LIB,18,2,male
"Turnbull, Malcolm",41,LIB,205,80,male
"Turnbull, Malcolm",42,LIB,636,107,male
"Turnbull, Malcolm",43,LIB,173,31,male
"Turnbull, Malcolm",44,LIB,1275,750,male
"Turnbull, Malcolm",45,LIB,2102,1070,male
"Turnour, James",42,ALP,114,34,male
"Vaile, Mark",39,NP,191,61,male
"Vaile, Mark",40,NP,291,148,male
"Vaile, Mark",41,NP,496,182,male
"Vaile, Mark",42,NP,1,0,male
"Vale, Danna",39,LIB,98,10,female
"Vale, Danna",40,LIB,200,95,female
"Vale, Danna",41,LIB,73,4,female
"Vale, Danna",42,LIB,24,6,female
"Vamvakinou, Maria",40,ALP,39,4,female
"Vamvakinou, Maria",41,ALP,50,8,female
"Vamvakinou, Maria",42,ALP,44,4,female
"Vamvakinou, Maria",43,ALP,51,2,female
"Vamvakinou, Maria",44,ALP,38,3,female
"Vamvakinou, Maria",45,ALP,31,1,female
"Vamvakinou, Maria",46,ALP,28,0,female
"Vamvakinou, Maria",47,ALP,90,3,female
"Varvaris, Nickolas",44,LIB,97,4,male
"Vasta, Ross",41,LIB,71,2,male
"Vasta, Ross",43,LIB,27,2,male
"Vasta, Ross",44,LIB,61,5,male
"Vasta, Ross",45,LIB,182,11,male
"Vasta, Ross",46,LIB,94,1,male
"Vasta, Ross",47,LIB,62,1,male
"Violi, Aaron",47,LIB,198,38,male
"Wakelin, Barry",39,LIB,119,31,male
"Wakelin, Barry",40,LIB,64,6,male
"Wakelin, Barry",41,LIB,91,11,male
"Wallace, Andrew",45,LIB,224,51,male
"Wallace, Andrew",46,LIB,291,27,male
"Wallace, Andrew",47,LIB,205,59,male
"Ware, Jenny",47,LIB,176,46,female
"Washer, Mal",39,LIB,75,5,male
"Washer, Mal",40,LIB,63,6,male
"Washer, Mal",41,LIB,63,2,male
"Washer, Mal",42,LIB,15,3,male
"Washer, Mal",43,LIB,15,2,male
"Watson-Brown, Elizabeth",47,GRN,134,12,female
"Watts, Tim",44,ALP,165,23,male
"Watts, Tim",45,ALP,93,17,male
"Watts, Tim",46,ALP,96,9,male
"Watts, Tim",47,ALP,45,11,male
"Webster, Anne",46,NP,193,2,female
"Webster, Anne",47,NP,115,12,female
"Wells, Anika",46,ALP,123,16,female
"Wells, Anika",47,ALP,121,37,female
"Whiteley, Brett",44,LIB,171,31,male
"Wicks, Lucy",44,LIB,121,7,female
"Wicks, Lucy",45,LIB,228,7,female
"Wicks, Lucy",46,LIB,199,10,female
"Wilkie, Andrew",43,IND,136,6,male
"Wilkie, Andrew",44,IND,112,25,male
"Wilkie, Andrew",45,IND,155,29,male
"Wilkie, Andrew",46,IND,163,11,male
"Wilkie, Andrew",47,IND,148,16,male
"Wilkie, Kim",39,ALP,69,8,male
"Wilkie, Kim",40,ALP,94,16,male
"Wilkie, Kim",41,ALP,109,24,male
"Willcox, Andrew",47,NP,129,29,male
"Williams, Daryl",39,LIB,314,64,male
"Williams, Daryl",40,LIB,304,67,male
"Williams, Matt",44,LIB,170,35,male
"Wilson, Josh",45,ALP,73,5,male
"Wilson, Josh",46,ALP,87,8,male
"Wilson, Josh",47,ALP,160,8,male
"Wilson, Rick",44,LIB,77,9,male
"Wilson, Rick",45,LIB,122,10,male
"Wilson, Rick",46,LIB,117,11,male
"Wilson, Rick",47,LIB,65,2,male
"Wilson, Tim",45,LIB,233,41,male
"Wilson, Tim",46,LIB,315,47,male
"Wilton, Greg",39,ALP,37,3,male
"Windsor, Tony",40,IND,133,45,male
"Windsor, Tony",41,IND,255,89,male
"Windsor, Tony",42,IND,145,36,male
"Windsor, Tony",43,IND,160,30,male
"Wolahan, Keith",47,LIB,176,38,male
"Wood, Jason",41,LIB,90,6,male
"Wood, Jason",42,LIB,51,4,male
"Wood, Jason",44,LIB,64,3,male
"Wood, Jason",45,LIB,120,6,male
"Wood, Jason",46,LIB,72,2,male
"Wood, Jason",47,LIB,39,6,male
"Wooldridge, Michael",39,LIB,566,222,male
"Worth, Trish",39,LIB,114,21,female
"Worth, Trish",40,LIB,107,11,female
"Wyatt, Ken",43,LIB,90,20,male
"Wyatt, Ken",44,LIB,142,28,male
"Wyatt, Ken",45,LIB,118,31,male
"Wyatt, Ken",46,LIB,87,14,male
"Young, Terry",46,LIB,86,3,male
"Young, Terry",47,LIB,67,3,male
"Zahra, Christian",39,ALP,181,62,male
"Zahra, Christian",40,ALP,158,69,male
"Zappia, Tony",42,ALP,136,20,male
"Zappia, Tony",43,ALP,173,8,male
"Zappia, Tony",44,ALP,241,20,male
"Zappia, Tony",45,ALP,135,6,male
"Zappia, Tony",46,ALP,125,4,male
"Zappia, Tony",47,ALP,130,2,male
"Zimmerman, Trent",44,LIB,6,2,male
"Zimmerman, Trent",45,LIB,105,5,male
"Zimmerman, Trent",46,LIB,102,3,male
"van Manen, Bert",43,LIB,122,29,male
"van Manen, Bert",44,LIB,150,14,male
"van Manen, Bert",45,LIB,134,6,male
"van Manen, Bert",46,LIB,143,3,male
"van Manen, Bert",47,LIB,109,28,male
